Crop Production Statistics,,,,,
,,,,,
State/Crop/District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Maharashtra,,,,,
Arhar/Tur,,,,,
, 2015-16,Kharif     ,39,9,0.24
,,Rabi       ,2,1,0.50
,,Total,41,10,0.25
, 2016-17,Kharif     ,20,7,0.35
,,Rabi       ,2,0,0.20
,,Total,22,7,0.34
 30.SOLAPUR, 2010-11,Kharif     ,300,100,0.33
,,Rabi       ,100,29,0.29
,,Total,400,129,0.32
, 2011-12,Kharif     ,300,100,0.33
, 2012-13,Kharif     ,300,100,0.33
, 2013-14,Kharif     ,300,100,0.33
, 2014-15,Kharif     ,200,100,0.50
, 2015-16,Kharif     ,30,2,0.07
,,Rabi       ,80,40,0.50
,,Total,110,42,0.38
, 2016-17,Kharif     ,27,7,0.26
,,Rabi       ,160,44,0.28
,,Total,187,51,0.27
, 2017-18,Kharif     ,63,19,0.30
,,Rabi       ,350,126,0.36
,,Total,413,145,0.35
, 2018-19,Kharif     ,45,6,0.13
,,Rabi       ,408,50,0.12
,,Total,453,56,0.12
 31.THANE, 2010-11,Kharif     ,600,300,0.50
, 2011-12,Kharif     ,700,400,0.57
,,Rabi       ,400,200,0.50
,,Total,1100,600,0.55
, 2012-13,Kharif     ,700,300,0.43
, 2013-14,Kharif     ,700,200,0.29
, 2014-15,Rabi       ,400,100,0.25
, 2015-16,Kharif     ,20,5,0.25
,,Rabi       ,100,100,1.00
,,Total,120,105,0.88
, 2016-17,Rabi       ,100,30,0.30
 32.WARDHA, 2011-12,Kharif     ,200,100,0.50
, 2016-17,Summer     ,15,3,0.20
, 2017-18,Summer     ,16,3,0.19
, 2018-19,Summer     ,10,2,0.20
 33.WASHIM, 2010-11,Kharif     ,600,200,0.33
, 2011-12,Kharif     ,500,100,0.20
, 2012-13,Kharif     ,700,100,0.14
, 2013-14,Kharif     ,500,100,0.20
, 2015-16,Kharif     ,200,30,0.15
, 2016-17,Kharif     ,239,65,0.27
,,Summer     ,158,30,0.19
,,Total,397,95,0.24
, 2017-18,Kharif     ,235,44,0.19
, 2018-19,Kharif     ,208,54,0.26
,,Summer     ,10,2,0.20
,,Total,218,56,0.26
 34.YAVATMAL, 2010-11,Kharif     ,900,300,0.33
, 2011-12,Kharif     ,900,300,0.33
, 2012-13,Kharif     ,700,100,0.14
, 2013-14,Kharif     ,500,100,0.20
, 2016-17,Kharif     ,474,130,0.27
,,Rabi       ,80,20,0.25
,,Summer     ,212,40,0.19
,,Total,766,190,0.25
, 2017-18,Kharif     ,401,75,0.19
,,Rabi       ,38,10,0.26
,,Summer     ,186,40,0.22
,,Total,625,125,0.20
, 2018-19,Kharif     ,789,205,0.26
,,Rabi       ,38,4,0.11
,,Summer     ,541,14,0.03
,,Total,1368,223,0.16
Total - Sesamum,,,334070.00,141411,0.42
Small millets,,,,,
 1.AHMEDNAGAR, 2010-11,Kharif     ,1100,200,0.18
,,Rabi       ,687100,593200,0.86
,,Total,688200,593400,0.86
, 2011-12,Kharif     ,1900,300,0.16
,,Rabi       ,100,40,0.40
,,Total,2000,340,0.17
, 2012-13,Kharif     ,1100,100,0.09
,,Rabi       ,900,100,0.11
,,Total,2000,200,0.10
, 2013-14,Kharif     ,2600,600,0.23
,,Rabi       ,200,100,0.50
,,Total,2800,700,0.25
, 2014-15,Kharif     ,900,300,0.33
, 2015-16,Kharif     ,2800,500,0.18
,,Rabi       ,700,100,0.14
,,Summer     ,10,10,1.00
,,Total,3510,610,0.17
 2.AKOLA, 2010-11,Kharif     ,100,100,1.00
,,Rabi       ,38300,90800,2.37
,,Total,38400,90900,2.37
, 2012-13,Kharif     ,100,100,1.00
, 2014-15,Kharif     ,800,400,0.50
 3.AMRAVATI, 2010-11,Kharif     ,500,200,0.40
,,Rabi       ,55900,106500,1.91
,,Total,56400,106700,1.89
, 2011-12,Kharif     ,600,300,0.50
, 2012-13,Kharif     ,200,100,0.50
,,Rabi       ,200,100,0.50
,,Total,400,200,0.50
, 2013-14,Kharif     ,1400,700,0.50
, 2014-15,Kharif     ,200,100,0.50
,,Rabi       ,100,,0.00
,,Total,300,100,0.33
 4.AURANGABAD, 2010-11,Kharif     ,600,300,0.50
,,Rabi       ,160400,234500,1.46
,,Total,161000,234800,1.46
, 2011-12,Kharif     ,200,100,0.50
, 2012-13,Kharif     ,800,200,0.25
,,Rabi       ,900,300,0.33
,,Total,1700,500,0.29
, 2013-14,Kharif     ,2000,800,0.40
,,Rabi       ,500,200,0.40
,,Total,2500,1000,0.40
, 2014-15,Kharif     ,1800,700,0.39
,,Rabi       ,2900,600,0.21
,,Total,4700,1300,0.28
, 2015-16,Kharif     ,1600,400,0.25
,,Rabi       ,5200,1000,0.19
,,Summer     ,100,20,0.20
,,Total,6900,1420,0.21
 5.BEED, 2010-11,Kharif     ,1000,400,0.40
,,Rabi       ,261300,227800,0.87
,,Total,262300,228200,0.87
, 2011-12,Kharif     ,1000,400,0.40
, 2012-13,Kharif     ,1700,500,0.29
, 2013-14,Kharif     ,3000,2800,0.93
,,Rabi       ,100,,0.00
,,Total,3100,2800,0.90
, 2014-15,Kharif     ,1100,500,0.45
,,Rabi       ,100,100,1.00
,,Total,1200,600,0.50
, 2015-16,Kharif     ,800,200,0.25
,,Summer     ,100,,0.00
,,Total,900,200,0.22
 6.BHANDARA, 2010-11,Rabi       ,11500,12500,1.09
, 2014-15,Kharif     ,100,,0.00
 7.BULDHANA, 2010-11,Kharif     ,100,50,0.50
,,Rabi       ,82800,131000,1.58
,,Total,82900,131050,1.58
, 2012-13,Kharif     ,300,200,0.67
, 2013-14,Kharif     ,700,400,0.57
,,Rabi       ,100,100,1.00
,,Total,800,500,0.63
, 2014-15,Kharif     ,400,100,0.25
,,Rabi       ,300,100,0.33
,,Total,700,200,0.29
, 2015-16,Kharif     ,2500,1300,0.52
,,Rabi       ,500,300,0.60
,,Total,3000,1600,0.53
 8.CHANDRAPUR, 2010-11,Kharif     ,300,200,0.67
,,Rabi       ,40400,39800,0.99
,,Total,40700,40000,0.98
, 2011-12,Kharif     ,100,40,0.40
,,Rabi       ,100,20,0.20
,,Total,200,60,0.30
, 2012-13,Kharif     ,100,20,0.20
, 2013-14,Kharif     ,200,100,0.50
,,Rabi       ,300,200,0.67
,,Total,500,300,0.60
, 2014-15,Kharif     ,1000,400,0.40
,,Rabi       ,1300,300,0.23
,,Total,2300,700,0.30
, 2015-16,Kharif     ,100,,0.00
 9.DHULE, 2010-11,Kharif     ,700,300,0.43
,,Rabi       ,42500,88700,2.09
,,Total,43200,89000,2.06
, 2011-12,Kharif     ,800,400,0.50
,,Rabi       ,400,200,0.50
,,Total,1200,600,0.50
, 2012-13,Kharif     ,2300,700,0.30
,,Rabi       ,100,100,1.00
,,Total,2400,800,0.33
, 2013-14,Kharif     ,1600,600,0.38
,,Rabi       ,100,,0.00
,,Total,1700,600,0.35
, 2014-15,Kharif     ,14900,4500,0.30
,,Rabi       ,500,100,0.20
,,Total,15400,4600,0.30
, 2015-16,Kharif     ,1300,800,0.62
,,Rabi       ,100,100,1.00
,,Summer     ,100,50,0.50
,,Total,1500,950,0.63
 10.GADCHIROLI, 2010-11,Kharif     ,100,100,1.00
,,Rabi       ,5800,6100,1.05
,,Total,5900,6200,1.05
, 2011-12,Kharif     ,100,40,0.40
, 2012-13,Kharif     ,100,20,0.20
,,Rabi       ,100,30,0.30
,,Total,200,50,0.25
, 2013-14,Kharif     ,100,,0.00
, 2014-15,Rabi       ,100,,0.00
 11.GONDIA, 2010-11,Rabi       ,2800,2200,0.79
, 2012-13,Kharif     ,100,20,0.20
, 2015-16,Rabi       ,10,2,0.20
 12.HINGOLI, 2010-11,Kharif     ,100,20,0.20
,,Rabi       ,60600,75400,1.24
,,Total,60700,75420,1.24
, 2011-12,Rabi       ,200,100,0.50
, 2012-13,Kharif     ,200,100,0.50
,,Rabi       ,100,40,0.40
,,Total,300,140,0.47
, 2013-14,Kharif     ,800,300,0.38
,,Rabi       ,300,200,0.67
,,Total,1100,500,0.45
, 2014-15,Kharif     ,6600,2000,0.30
,,Rabi       ,900,200,0.22
,,Total,7500,2200,0.29
, 2015-16,Rabi       ,20,4,0.20
,,Summer     ,300,,0.00
,,Total,320,4,0.01
 13.JALGAON, 2010-11,Kharif     ,500,200,0.40
,,Rabi       ,132300,288600,2.18
,,Total,132800,288800,2.17
, 2011-12,Kharif     ,500,200,0.40
, 2012-13,Kharif     ,1400,400,0.29
, 2013-14,Kharif     ,1300,800,0.62
, 2014-15,Kharif     ,5200,1700,0.33
,,Rabi       ,2500,2200,0.88
,,Total,7700,3900,0.51
, 2015-16,Kharif     ,1100,300,0.27
,,Summer     ,2400,2100,0.88
,,Total,3500,2400,0.69
 14.JALNA, 2010-11,Kharif     ,200,100,0.50
,,Rabi       ,164300,158600,0.97
,,Total,164500,158700,0.96
, 2011-12,Kharif     ,200,100,0.50
, 2013-14,Kharif     ,400,200,0.50
,,Rabi       ,100,,0.00
,,Total,500,200,0.40
, 2014-15,Kharif     ,1500,800,0.53
 15.KOLHAPUR, 2010-11,Kharif     ,2300,900,0.39
,,Rabi       ,29700,59700,2.01
,,Total,32000,60600,1.89
, 2011-12,Kharif     ,2100,800,0.38
, 2012-13,Kharif     ,2700,500,0.19
,,Rabi       ,500,200,0.40
,,Total,3200,700,0.22
, 2013-14,Kharif     ,2100,800,0.38
,,Rabi       ,500,100,0.20
,,Total,2600,900,0.35
, 2014-15,Kharif     ,2100,900,0.43
,,Rabi       ,300,100,0.33
,,Total,2400,1000,0.42
, 2015-16,Kharif     ,1600,600,0.38
 16.LATUR, 2010-11,Kharif     ,700,100,0.14
,,Rabi       ,66800,72700,1.09
,,Total,67500,72800,1.08
, 2011-12,Kharif     ,1000,200,0.20
,,Rabi       ,500,200,0.40
,,Total,1500,400,0.27
, 2012-13,Kharif     ,1600,400,0.25
,,Rabi       ,500,200,0.40
,,Total,2100,600,0.29
, 2013-14,Kharif     ,1000,300,0.30
,,Rabi       ,400,100,0.25
,,Total,1400,400,0.29
, 2014-15,Kharif     ,4000,1800,0.45
,,Rabi       ,1000,200,0.20
,,Total,5000,2000,0.40
, 2015-16,Kharif     ,1600,100,0.06
,,Rabi       ,1500,200,0.13
,,Total,3100,300,0.10
 17.NAGPUR, 2010-11,Kharif     ,100,100,1.00
,,Rabi       ,78500,117300,1.49
,,Total,78600,117400,1.49
, 2011-12,Kharif     ,100,40,0.40
, 2012-13,Kharif     ,100,30,0.30
, 2013-14,Kharif     ,100,,0.00
, 2014-15,Kharif     ,100,,0.00
 18.NANDED, 2010-11,Kharif     ,400,100,0.25
,,Rabi       ,78600,111400,1.42
,,Total,79000,111500,1.41
, 2011-12,Kharif     ,900,200,0.22
,,Rabi       ,100,20,0.20
,,Total,1000,220,0.22
, 2012-13,Kharif     ,1800,600,0.33
, 2013-14,Kharif     ,400,100,0.25
, 2014-15,Kharif     ,1700,500,0.29
,,Rabi       ,300,100,0.33
,,Total,2000,600,0.30
, 2015-16,Rabi       ,400,100,0.25
,,Summer     ,3300,2600,0.79
,,Total,3700,2700,0.73
 19.NANDURBAR, 2010-11,Kharif     ,5600,3100,0.55
,,Rabi       ,56400,98200,1.74
,,Total,62000,101300,1.63
, 2011-12,Kharif     ,5200,3000,0.58
,,Rabi       ,100,40,0.40
,,Total,5300,3040,0.57
, 2012-13,Kharif     ,2000,1200,0.60
,,Rabi       ,100,20,0.20
,,Total,2100,1220,0.58
, 2013-14,Kharif     ,1700,1000,0.59
,,Rabi       ,300,200,0.67
,,Total,2000,1200,0.60
, 2014-15,Kharif     ,1700,500,0.29
,,Rabi       ,100,,0.00
,,Total,1800,500,0.28
, 2015-16,Kharif     ,5900,1500,0.25
,,Rabi       ,100,40,0.40
,,Summer     ,100,100,1.00
,,Total,6100,1640,0.27
 20.NASHIK, 2010-11,Kharif     ,11100,6400,0.58
,,Rabi       ,93100,164100,1.76
,,Total,104200,170500,1.64
, 2011-12,Kharif     ,14700,8200,0.56
,,Rabi       ,200,100,0.50
,,Total,14900,8300,0.56
, 2012-13,Kharif     ,12000,4900,0.41
,,Rabi       ,7400,3300,0.45
,,Total,19400,8200,0.42
, 2013-14,Kharif     ,11300,6800,0.60
,,Rabi       ,100,,0.00
,,Total,11400,6800,0.60
, 2014-15,Rabi       ,500,100,0.20
, 2015-16,Kharif     ,11800,3000,0.25
,,Rabi       ,1600,700,0.44
,,Summer     ,100,50,0.50
,,Total,13500,3750,0.28
 21.OSMANABAD, 2010-11,Kharif     ,600,100,0.17
,,Rabi       ,313200,248500,0.79
,,Total,313800,248600,0.79
, 2011-12,Kharif     ,800,200,0.25
,,Rabi       ,500,200,0.40
,,Total,1300,400,0.31
, 2012-13,Kharif     ,1700,600,0.35
,,Rabi       ,700,300,0.43
,,Total,2400,900,0.38
, 2013-14,Kharif     ,1700,500,0.29
,,Rabi       ,1200,400,0.33
,,Total,2900,900,0.31
, 2014-15,Kharif     ,1100,300,0.27
,,Rabi       ,1300,300,0.23
,,Total,2400,600,0.25
, 2015-16,Kharif     ,900,100,0.11
,,Rabi       ,1200,100,0.08
,,Total,2100,200,0.10
 22.PALGHAR, 2014-15,Rabi       ,100,100,1.00
, 2015-16,Kharif     ,8600,5200,0.60
,,Rabi       ,100,100,1.00
,,Total,8700,5300,0.61
 23.PARBHANI, 2010-11,Kharif     ,200,100,0.50
,,Rabi       ,209300,148400,0.71
,,Total,209500,148500,0.71
, 2011-12,Kharif     ,200,100,0.50
,,Rabi       ,400,200,0.50
,,Total,600,300,0.50
, 2012-13,Kharif     ,300,100,0.33
,,Rabi       ,200,100,0.50
,,Total,500,200,0.40
, 2013-14,Kharif     ,900,200,0.22
, 2014-15,Kharif     ,900,300,0.33
,,Rabi       ,1400,300,0.21
,,Total,2300,600,0.26
, 2015-16,Kharif     ,700,100,0.14
,,Rabi       ,1300,200,0.15
,,Summer     ,600,,0.00
,,Total,2600,300,0.12
 24.PUNE, 2010-11,Kharif     ,2300,700,0.30
,,Rabi       ,524300,494800,0.94
,,Total,526600,495500,0.94
, 2011-12,Kharif     ,2000,700,0.35
,,Rabi       ,2400,800,0.33
,,Total,4400,1500,0.34
, 2012-13,Kharif     ,1400,500,0.36
,,Rabi       ,1700,300,0.18
,,Total,3100,800,0.26
, 2013-14,Kharif     ,1600,500,0.31
,,Rabi       ,200,100,0.50
,,Total,1800,600,0.33
, 2014-15,Kharif     ,1600,500,0.31
,,Rabi       ,900,200,0.22
,,Total,2500,700,0.28
, 2015-16,Kharif     ,1600,300,0.19
,,Rabi       ,300,100,0.33
,,Summer     ,4900,4600,0.94
,,Total,6800,5000,0.74
 25.RAIGAD, 2010-11,Kharif     ,3800,1700,0.45
,,Rabi       ,100,100,1.00
,,Total,3900,1800,0.46
, 2011-12,Kharif     ,5000,2600,0.52
,,Rabi       ,300,300,1.00
,,Total,5300,2900,0.55
, 2012-13,Kharif     ,4600,2000,0.43
,,Rabi       ,100,50,0.50
,,Total,4700,2050,0.44
, 2013-14,Kharif     ,600,200,0.33
, 2014-15,Kharif     ,3800,2300,0.61
,,Rabi       ,1000,200,0.20
,,Total,4800,2500,0.52
, 2015-16,Kharif     ,1300,500,0.38
,,Rabi       ,300,100,0.33
,,Total,1600,600,0.38
 26.RATNAGIRI, 2010-11,Kharif     ,7000,4300,0.61
,,Rabi       ,200,400,2.00
,,Total,7200,4700,0.65
, 2011-12,Kharif     ,5400,3200,0.59
,,Rabi       ,100,100,1.00
,,Total,5500,3300,0.60
, 2012-13,Kharif     ,2100,1500,0.71
, 2013-14,Kharif     ,1800,1300,0.72
,,Rabi       ,100,100,1.00
,,Total,1900,1400,0.74
, 2014-15,Kharif     ,1000,400,0.40
,,Rabi       ,100,100,1.00
,,Total,1100,500,0.45
, 2015-16,Kharif     ,500,200,0.40
,,Rabi       ,10,10,1.00
,,Total,510,210,0.41
 27.SANGLI, 2010-11,Kharif     ,800,200,0.25
,,Rabi       ,235500,224900,0.95
,,Total,236300,225100,0.95
, 2011-12,Kharif     ,2100,600,0.29
,,Rabi       ,100,100,1.00
,,Total,2200,700,0.32
, 2012-13,Kharif     ,1500,400,0.27
,,Rabi       ,200,100,0.50
,,Total,1700,500,0.29
, 2013-14,Kharif     ,3400,1600,0.47
,,Rabi       ,400,100,0.25
,,Total,3800,1700,0.45
, 2014-15,Kharif     ,500,200,0.40
,,Rabi       ,100,,0.00
,,Total,600,200,0.33
, 2015-16,Kharif     ,1800,400,0.22
,,Rabi       ,300,100,0.33
,,Summer     ,40,40,1.00
,,Total,2140,540,0.25
 28.SATARA, 2010-11,Kharif     ,600,200,0.33
,,Rabi       ,184300,212600,1.15
,,Total,184900,212800,1.15
, 2011-12,Kharif     ,600,200,0.33
,,Rabi       ,100,100,1.00
,,Total,700,300,0.43
, 2012-13,Kharif     ,2100,600,0.29
,,Rabi       ,500,100,0.20
,,Total,2600,700,0.27
, 2013-14,Kharif     ,1300,700,0.54
,,Rabi       ,100,100,1.00
,,Total,1400,800,0.57
, 2014-15,Kharif     ,200,100,0.50
,,Rabi       ,600,200,0.33
,,Total,800,300,0.38
, 2015-16,Kharif     ,600,200,0.33
,,Rabi       ,300,100,0.33
,,Total,900,300,0.33
 29.SINDHUDURG, 2010-11,Kharif     ,300,200,0.67
,,Rabi       ,800,1400,1.75
,,Total,1100,1600,1.45
, 2011-12,Kharif     ,200,40,0.20
,,Rabi       ,100,100,1.00
,,Total,300,140,0.47
, 2013-14,Rabi       ,100,,0.00
, 2014-15,Kharif     ,5000,1500,0.30
,,Rabi       ,100,100,1.00
,,Total,5100,1600,0.31
, 2015-16,Rabi       ,1500,1400,0.93
,,Summer     ,200,200,1.00
,,Total,1700,1600,0.94
 30.SOLAPUR, 2010-11,Kharif     ,1000,700,0.70
,,Rabi       ,765000,592400,0.77
,,Total,766000,593100,0.77
, 2011-12,Kharif     ,100,100,1.00
,,Rabi       ,3400,1400,0.41
,,Total,3500,1500,0.43
, 2012-13,Rabi       ,5400,800,0.15
, 2013-14,Kharif     ,500,200,0.40
,,Rabi       ,400,200,0.50
,,Total,900,400,0.44
, 2014-15,Kharif     ,700,200,0.29
,,Rabi       ,500,100,0.20
,,Total,1200,300,0.25
, 2015-16,Kharif     ,200,,0.00
,,Rabi       ,200,30,0.15
,,Summer     ,100,100,1.00
,,Total,500,130,0.26
 31.THANE, 2010-11,Kharif     ,11400,6000,0.53
,,Rabi       ,400,700,1.75
,,Total,11800,6700,0.57
, 2011-12,Kharif     ,12200,8200,0.67
,,Rabi       ,200,200,1.00
,,Total,12400,8400,0.68
, 2012-13,Kharif     ,10100,6500,0.64
,,Rabi       ,100,100,1.00
,,Total,10200,6600,0.65
, 2013-14,Kharif     ,8800,5600,0.64
,,Rabi       ,100,,0.00
,,Total,8900,5600,0.63
, 2014-15,Kharif     ,3800,2300,0.61
,,Rabi       ,100,100,1.00
,,Total,3900,2400,0.62
, 2015-16,Kharif     ,700,400,0.57
,,Rabi       ,100,40,0.40
,,Total,800,440,0.55
 32.WARDHA, 2010-11,Kharif     ,100,100,1.00
,,Rabi       ,30700,49700,1.62
,,Total,30800,49800,1.62
 33.WASHIM, 2010-11,Rabi       ,22200,35500,1.60
, 2012-13,Kharif     ,1400,1100,0.79
, 2013-14,Kharif     ,300,200,0.67
,,Rabi       ,400,100,0.25
,,Total,700,300,0.43
, 2014-15,Kharif     ,100,,0.00
,,Rabi       ,200,100,0.50
,,Total,300,100,0.33
, 2015-16,Kharif     ,200,100,0.50
,,Rabi       ,100,30,0.30
,,Total,300,130,0.43
 34.YAVATMAL, 2010-11,Rabi       ,41800,61500,1.47
, 2014-15,Kharif     ,1300,500,0.38
Total - Small millets,,,4886690.00,4931506,1.01
Soyabean,,,,,
 1.AHMEDNAGAR, 2010-11,Kharif     ,50700,90800,1.79
, 2011-12,Kharif     ,58600,122700,2.09
, 2012-13,Kharif     ,56800,28100,0.49
, 2013-14,Kharif     ,65900,74500,1.13
, 2014-15,Kharif     ,58200,35900,0.62
, 2015-16,Kharif     ,40900,19800,0.48
, 2016-17,Kharif     ,52000,41700,0.80
, 2017-18,Kharif     ,59284,86900,1.47
, 2018-19,Kharif     ,60627,38254,0.63
 2.AKOLA, 2010-11,Kharif     ,126600,238400,1.88
, 2011-12,Kharif     ,140600,167700,1.19
, 2012-13,Kharif     ,151000,290400,1.92
, 2013-14,Kharif     ,187100,191900,1.03
, 2014-15,Kharif     ,233100,69600,0.30
, 2015-16,Kharif     ,227200,102100,0.45
, 2016-17,Kharif     ,216600,305700,1.41
, 2017-18,Kharif     ,204700,144000,0.70
, 2018-19,Kharif     ,212808,298804,1.40
 3.AMRAVATI, 2010-11,Kharif     ,273300,444500,1.63
, 2011-12,Kharif     ,296700,373100,1.26
, 2012-13,Kharif     ,309500,471800,1.52
, 2013-14,Kharif     ,366400,352700,0.96
, 2014-15,Kharif     ,370600,128300,0.35
, 2015-16,Kharif     ,365900,126700,0.35
, 2016-17,Kharif     ,362900,483400,1.33
, 2017-18,Kharif     ,287100,265200,0.92
, 2018-19,Kharif     ,291642,351621,1.21
 4.AURANGABAD, 2010-11,Kharif     ,7700,16400,2.13
, 2011-12,Kharif     ,7800,11100,1.42
, 2012-13,Kharif     ,7800,5800,0.74
, 2013-14,Kharif     ,11500,12500,1.09
, 2014-15,Kharif     ,18700,8500,0.45
, 2015-16,Kharif     ,20900,9500,0.45
, 2016-17,Kharif     ,29300,31100,1.06
, 2017-18,Kharif     ,26200,11500,0.44
, 2018-19,Kharif     ,14022,9054,0.65
 5.BEED, 2010-11,Kharif     ,70400,96600,1.37
, 2011-12,Kharif     ,76400,118100,1.55
, 2012-13,Kharif     ,76400,127000,1.66
, 2013-14,Kharif     ,93500,174200,1.86
, 2014-15,Kharif     ,113400,39900,0.35
, 2015-16,Kharif     ,145100,23800,0.16
, 2016-17,Kharif     ,169200,132350,0.78
, 2017-18,Kharif     ,181300,128300,0.71
, 2018-19,Kharif     ,217791,52764,0.24
 6.BHANDARA, 2010-11,Kharif     ,7000,12100,1.73
, 2011-12,Kharif     ,6900,4700,0.68
, 2012-13,Kharif     ,7100,5700,0.80
, 2013-14,Kharif     ,7000,2800,0.40
, 2014-15,Kharif     ,8100,3700,0.46
, 2015-16,Kharif     ,6600,900,0.14
, 2016-17,Kharif     ,11800,13300,1.13
, 2017-18,Kharif     ,5300,6400,1.21
, 2018-19,Kharif     ,4111,4649,1.13
 7.BULDHANA, 2010-11,Kharif     ,225500,416100,1.85
, 2011-12,Kharif     ,258800,374200,1.45
, 2012-13,Kharif     ,279500,430300,1.54
, 2013-14,Kharif     ,323200,479000,1.48
, 2014-15,Kharif     ,352500,189100,0.54
, 2015-16,Kharif     ,352400,160400,0.46
, 2016-17,Kharif     ,365010,703600,1.93
, 2017-18,Kharif     ,370290,439600,1.19
, 2018-19,Kharif     ,404209,448429,1.11
 8.CHANDRAPUR, 2010-11,Kharif     ,148300,148600,1.00
, 2011-12,Kharif     ,146800,129700,0.88
, 2012-13,Kharif     ,142100,145100,1.02
, 2013-14,Kharif     ,142100,88400,0.62
, 2014-15,Kharif     ,126200,64300,0.51
, 2015-16,Kharif     ,117100,59400,0.51
, 2016-17,Kharif     ,108500,108300,1.00
, 2017-18,Kharif     ,65900,62000,0.94
, 2018-19,Kharif     ,75376,120538,1.60
 9.DHULE, 2010-11,Kharif     ,21100,47100,2.23
, 2011-12,Kharif     ,11000,17700,1.61
, 2012-13,Kharif     ,11400,18300,1.61
, 2013-14,Kharif     ,12000,16200,1.35
, 2014-15,Kharif     ,15500,20000,1.29
, 2015-16,Kharif     ,20800,13400,0.64
, 2016-17,Kharif     ,18300,25300,1.38
, 2017-18,Kharif     ,18456,32700,1.77
, 2018-19,Kharif     ,20076,31835,1.59
 10.GADCHIROLI, 2010-11,Kharif     ,7500,6900,0.92
, 2011-12,Kharif     ,5900,7200,1.22
, 2012-13,Kharif     ,5200,6300,1.21
, 2013-14,Kharif     ,5200,3800,0.73
, 2014-15,Kharif     ,4400,3000,0.68
, 2015-16,Kharif     ,3500,1500,0.43
, 2016-17,Kharif     ,2100,1800,0.86
, 2017-18,Kharif     ,200,300,1.50
, 2018-19,Kharif     ,164,376,2.29
 11.HINGOLI, 2010-11,Kharif     ,148300,237400,1.60
, 2011-12,Kharif     ,146700,204200,1.39
, 2012-13,Kharif     ,150500,286700,1.90
, 2013-14,Kharif     ,170000,186000,1.09
, 2014-15,Kharif     ,137700,38400,0.28
, 2015-16,Kharif     ,165100,78900,0.48
, 2016-17,Kharif     ,171600,184000,1.07
, 2017-18,Kharif     ,175800,199400,1.13
, 2018-19,Kharif     ,215800,300739,1.39
 12.JALGAON, 2010-11,Kharif     ,12900,26200,2.03
, 2011-12,Kharif     ,15800,31600,2.00
, 2012-13,Kharif     ,15000,25600,1.71
, 2013-14,Kharif     ,15000,26500,1.77
, 2014-15,Kharif     ,25000,35400,1.42
, 2015-16,Kharif     ,31800,17600,0.55
, 2016-17,Kharif     ,33900,63600,1.88
, 2017-18,Kharif     ,34139,55900,1.64
, 2018-19,Kharif     ,32232,46823,1.45
 13.JALNA, 2010-11,Kharif     ,49300,80000,1.62
, 2011-12,Kharif     ,60300,90000,1.49
, 2012-13,Kharif     ,62400,43600,0.70
, 2013-14,Kharif     ,74600,123600,1.66
, 2014-15,Kharif     ,109300,40300,0.37
, 2015-16,Kharif     ,120200,57400,0.48
, 2016-17,Kharif     ,112800,171500,1.52
, 2017-18,Kharif     ,115400,80500,0.70
, 2018-19,Kharif     ,135760,122115,0.90
 14.KOLHAPUR, 2010-11,Kharif     ,49200,137100,2.79
, 2011-12,Kharif     ,48500,123400,2.54
, 2012-13,Kharif     ,49000,127500,2.60
, 2013-14,Kharif     ,55400,132530,2.39
, 2014-15,Kharif     ,56000,121200,2.16
, 2015-16,Kharif     ,53900,102390,1.90
, 2016-17,Kharif     ,52700,124300,2.36
, 2017-18,Kharif     ,51300,109700,2.14
, 2018-19,Kharif     ,47645,105099,2.21
 15.LATUR, 2010-11,Kharif     ,194500,431800,2.22
, 2011-12,Kharif     ,265400,437200,1.65
, 2012-13,Kharif     ,265400,625400,2.36
, 2013-14,Kharif     ,308400,670400,2.17
, 2014-15,Kharif     ,336800,210000,0.62
, 2015-16,Kharif     ,340800,109000,0.32
, 2016-17,Kharif     ,370300,297900,0.80
, 2017-18,Kharif     ,392800,465000,1.18
, 2018-19,Kharif     ,435969,445480,1.02
 16.NAGPUR, 2010-11,Kharif     ,242400,287100,1.18
, 2011-12,Kharif     ,241200,157300,0.65
, 2012-13,Kharif     ,237100,238600,1.01
, 2013-14,Kharif     ,232800,99900,0.43
, 2014-15,Kharif     ,220400,79500,0.36
, 2015-16,Kharif     ,199700,77200,0.39
, 2016-17,Kharif     ,172400,203900,1.18
, 2017-18,Kharif     ,151100,172400,1.14
, 2018-19,Kharif     ,133267,108020,0.81
 17.NANDED, 2010-11,Kharif     ,181200,268400,1.48
, 2011-12,Kharif     ,183000,233800,1.28
, 2012-13,Kharif     ,185000,283400,1.53
, 2013-14,Kharif     ,213200,274400,1.29
, 2014-15,Kharif     ,218900,64500,0.29
, 2015-16,Kharif     ,276100,87200,0.32
, 2016-17,Kharif     ,304300,101600,0.33
, 2017-18,Kharif     ,273500,190400,0.70
, 2018-19,Kharif     ,354966,493296,1.39
 18.NANDURBAR, 2010-11,Kharif     ,33100,53600,1.62
, 2011-12,Kharif     ,32300,57500,1.78
, 2012-13,Kharif     ,24400,49200,2.02
, 2013-14,Kharif     ,28000,33300,1.19
, 2014-15,Kharif     ,27500,26700,0.97
, 2015-16,Kharif     ,27600,26200,0.95
, 2016-17,Kharif     ,28000,45900,1.64
, 2017-18,Kharif     ,27174,39100,1.44
