state,district,year,month,rain
AndhraPradesh,Vishakhapatnam,2016,December,163
AndhraPradesh,Vizianagaram,2015,January,0
AndhraPradesh,Vizianagaram,2015,February,0
AndhraPradesh,Vizianagaram,2015,March,13.3
AndhraPradesh,Vizianagaram,2015,April,11.3
AndhraPradesh,Vizianagaram,2015,May,50.5
AndhraPradesh,Vizianagaram,2015,June,145.1
AndhraPradesh,Vizianagaram,2015,July,182.1
AndhraPradesh,Vizianagaram,2015,August,242.9
AndhraPradesh,Vizianagaram,2015,September,144.2
AndhraPradesh,Vizianagaram,2015,October,125
AndhraPradesh,Vizianagaram,2015,November,118
AndhraPradesh,Vizianagaram,2015,December,0
AndhraPradesh,Vizianagaram,2016,January,46.2
AndhraPradesh,Vizianagaram,2016,February,9.6
AndhraPradesh,Vizianagaram,2016,March,14.8
AndhraPradesh,Vizianagaram,2016,April,5.5
AndhraPradesh,Vizianagaram,2016,May,128.9
AndhraPradesh,Vizianagaram,2016,June,179.9
AndhraPradesh,Vizianagaram,2016,July,293
AndhraPradesh,Vizianagaram,2016,August,234
AndhraPradesh,Vizianagaram,2016,September,245.9
AndhraPradesh,Vizianagaram,2016,October,189.6
AndhraPradesh,Vizianagaram,2016,November,167.1
AndhraPradesh,Vizianagaram,2016,December,133.4
AndhraPradesh,Warangal,2015,January,0
AndhraPradesh,Warangal,2015,February,0
AndhraPradesh,Warangal,2015,March,0
AndhraPradesh,Warangal,2015,April,0.9
AndhraPradesh,Warangal,2015,May,22
AndhraPradesh,Warangal,2015,June,50.6
AndhraPradesh,Warangal,2015,July,123.7
AndhraPradesh,Warangal,2015,August,149.2
AndhraPradesh,Warangal,2015,September,180.4
AndhraPradesh,Warangal,2015,October,81.1
AndhraPradesh,Warangal,2015,November,46.9
AndhraPradesh,Warangal,2015,December,0.4
AndhraPradesh,Warangal,2016,January,7.8
AndhraPradesh,Warangal,2016,February,5.7
AndhraPradesh,Warangal,2016,March,0
AndhraPradesh,Warangal,2016,April,0
AndhraPradesh,Warangal,2016,May,56.2
AndhraPradesh,Warangal,2016,June,119.5
AndhraPradesh,Warangal,2016,July,499.3
AndhraPradesh,Warangal,2016,August,223.7
AndhraPradesh,Warangal,2016,September,280.3
AndhraPradesh,Warangal,2016,October,99.7
AndhraPradesh,Warangal,2016,November,39.2
AndhraPradesh,Warangal,2016,December,21.9
